url;brand;category;price;delivery time
https://www.zalando.nl/adidas-originals-sweater-blue-zir01l0ul-001.html;adidas Originals;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/adidas-originals-sweater-white-zir01ky5j-001.html;adidas Originals;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/nike-sportswear-sweater-black-zir01l1dd-001.html;Nike Sportswear;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/tom-tailor-denim-trui-blue-zir01mgz1-001.html;TOM TAILOR DENIM;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/tom-tailor-trui-brown-zir01riyi-001.html;TOM TAILOR;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 14,60</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/superdry-trui-blue-zir01l06z-001.html;Superdry;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/won-hundred-trui-grey-zir01kndd-001.html;Won Hundred;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 27,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/selected-homme-trui-grey-zir01kp2x-001.html;Selected Homme;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/burlington-trui-white-zir01mi66-001.html;Burlington;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gap-trui-brown-zir01kyn6-001.html;GAP;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/next-trui-red-zir01knnj-001.html;Next;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 18,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-trui-blue-zir01knpp-001.html;Jack & Jones;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-trui-grey-zir01lc2t-001.html;Jack & Jones;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/selected-homme-vest-blue-zir01koak-001.html;Selected Homme;Vest;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-red-zir01mhdk-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-blue-zir01rkbw-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 13,50</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/abercrombie-and-fitch-sweater-blue-zir01l1zb-001.html;Abercrombie & Fitch;Hoodie;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/levis-sweater-white-zir01l2f7-001.html;Levi's®;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/hummel-hoodie-purple-zir00pcyn-001.html;Hummel;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 14,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/john-richmond-sweater-black-zir01knrm-001.html;John Richmond;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 36,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gant-sweater-grey-zir01kx97-001.html;GANT;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 24,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/vintage-55-sweater-grey-zir01ko84-001.html;Vintage 55;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-sweater-black-zir01mgzf-001.html;Jack & Jones;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/soliver-black-label-sweater-blue-zir01kie4-001.html;s.Oliver BLACK LABEL;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/carhartt-wip-sweater-black-zir01knrf-001.html;Carhartt WIP;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 25,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/anerkjendt-sweater-beige-zir01knnt-001.html;Anerkjendt;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/dkny-trui-brown-zir01kn73-001.html;DKNY;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 26,90</span>";1-4 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/benetton-sweater-grey-zir01mijp-001.html;Benetton;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/burton-trui-purple-zir01ko6p-001.html;Burton;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jcrew-trui-black-zir01kq8h-001.html;J.CREW;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-blue-zir01ko73-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/ellesse-sweater-black-zir01ko9n-001.html;Ellesse;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 21,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/christian-berg-trui-red-zir01knua-001.html;Christian Berg;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 23,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/christian-berg-trui-blue-zir01knph-001.html;Christian Berg;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 24,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/pierre-cardin-trui-blue-zir01rjui-001.html;Pierre Cardin;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 30,40</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/burton-trui-dark-blue-zir01mix6-001.html;Burton;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/columbia-fleece-trui-blue-zir01knbe-001.html;Columbia;Fleece trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/joop-trui-grey-zir01rx90-001.html;JOOP!;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 51,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/quiksilver-longsleeve-grey-zir01rmf7-001.html;Quiksilver;Longsleeve;;3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marc-opolo-trui-grey-zir01kwue-001.html;Marc O'Polo;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 27,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-beige-zir01mi0o-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-purple-zir01kqdq-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/sublevel-sweater-met-rits-black-zir01rxay-001.html;Sublevel;Sweater met rits;;3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/nike-action-sports-sweater-grey-zir01kxj2-001.html;Nike Action Sports;Hoodie;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 48,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gant-trui-blue-zir01rjm0-001.html;GANT;Trui;;3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/hollister-co-trui-blue-zir01rl65-001.html;Hollister Co.;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 12,70</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/soliver-selection-trui-blue-zir01kpte-001.html;s.Oliver Selection;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/energie-trui-grey-zir01ke78-001.html;Energie;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 21,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/new-zealand-auckland-trui-multicolored-zir01rmus-001.html;New Zealand Auckland;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/diesel-trui-blue-zir01rxcx-001.html;Diesel;Hoodie;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 18,80</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/boss-trui-blue-zir01g0ec-001.html;BOSS;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 18,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/filippa-k-trui-green-zir01kioj-001.html;Filippa K;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 41,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/polo-ralph-lauren-big-and-tall-trui-blue-zir01kzn4-001.html;Polo Ralph Lauren Big & Tall;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 26,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gant-trui-red-zir01kxow-001.html;GANT;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 32,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-trui-red-zir01kods-001.html;Jack & Jones;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-premium-trui-red-zir01kpbf-001.html;Jack & Jones PREMIUM;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
